Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement,Access_to_Resources,Motivation_Level,Family_Income,Teacher_Quality,Parental_Education_Level,Peer_Influence,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,Learning_Disabilities_No,Learning_Disabilities_Yes,School_Type_Private,School_Type_Public,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near
1.16545945875446,-0.17562909148452344,0.6465782530627139,0.6859717080411724,-1.2090019452197214,0.01856079459324882,1.2080493452764647,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.002474851044015999,-1.389332143589454,-2.0735555314155096,1.3800239141305035,2.0158460090403856,0.9948203205185708,-0.3271883895958023,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.6620877819333805,0.5179155097182939,-0.7134886391763979,-0.9103483659642893,-0.40278995665469475,0.9948203205185708,-0.3271883895958023,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.6670374840214125,-1.1292529181383972,-2.0735555314155096,0.2001351637786406,-0.40278995665469475,-0.9576987313320732,-0.07131543378375782,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.5008968257770634,0.6046085848686461,-0.7134886391763979,-0.2162961598749581,-0.40278995665469475,0.01856079459324882,0.4404304778403312,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
-2.65577568086557,0.3445293594175896,-0.7134886391763979,-0.3551066010928243,2.822057997605412,0.9948203205185708,-0.5830613454078468,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.33475616753271425,0.2578362842672374,-1.3935220852959538,-0.3551066010928243,0.40342203191033194,0.01856079459324882,-0.07131543378375782,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
-1.6589317313994754,-0.34901524178522775,-0.033455193056841984,0.33894560499650683,-0.40278995665469475,0.9948203205185708,-0.5830613454078468,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.16861550928836513,0.3445293594175896,1.3266116991822698,-1.5349953514446872,0.40342203191033194,0.01856079459324882,-0.5830613454078468,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.6620877819333805,0.9513808854700547,1.3266116991822698,1.3106186935215705,-1.2090019452197214,0.01856079459324882,0.6963034336523757,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.4959471236890314,0.17114320911688524,-0.7134886391763979,0.8941873698679718,0.40342203191033194,0.01856079459324882,-0.5830613454078468,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.16545945875446,-0.002242941183819091,2.006645145301826,-0.2857013804838912,2.0158460090403856,-0.9576987313320732,1.2080493452764647,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.16861550928836513,0.8646878103197027,-0.7134886391763979,1.657644796566236,0.40342203191033194,0.01856079459324882,0.6963034336523757,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.16366580720033314,-0.6090944672362842,-0.7134886391763979,-0.771537924746423,2.0158460090403856,1.9710798464438928,-0.3271883895958023,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-1.160509756666428,-0.955866767837693,0.6465782530627139,-0.3551066010928243,-0.40278995665469475,0.01856079459324882,-1.6065531686560248,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
-1.160509756666428,-1.389332143589454,-1.3935220852959538,-0.2162961598749581,0.40342203191033194,-0.9576987313320732,-1.0948072570319358,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.6670374840214125,1.2114601109211114,-0.7134886391763979,-0.008080498048158753,-0.40278995665469475,0.9948203205185708,0.4404304778403312,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.32980646544468223,0.8646878103197027,-0.033455193056841984,0.40835082560543995,0.40342203191033194,0.01856079459324882,0.4404304778403312,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-2.1573537061325228,0.6913016600189983,-0.7134886391763979,-0.2857013804838912,-1.2090019452197214,0.01856079459324882,-0.5830613454078468,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6670374840214125,0.2578362842672374,-0.033455193056841984,-1.6044005720536203,-0.40278995665469475,0.9948203205185708,0.9521763894644202,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.16861550928836513,1.2114601109211114,-0.033455193056841984,-0.14689093926602498,-0.40278995665469475,1.9710798464438928,0.9521763894644202,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5008968257770634,-1.476025218739806,1.3266116991822698,0.2695403843875737,-1.2090019452197214,0.9948203205185708,-1.0948072570319358,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
